20388, -0.198, 0.337, 0.929, -0.854, 0.305, 0.061, -5, 5, -14,
20392, -0.196, 0.339, 0.926, -0.793, 0.000, 0.366, -5, 5, -14,
20396, -0.188, 0.327, 0.933, -0.244, 0.000, 0.305, -5, 5, -14,
20401, -0.208, 0.330, 0.933, -0.610, -0.183, 0.610, -5, 5, -14,
20405, -0.190, 0.327, 0.937, -0.366, -0.427, 0.732, -6, 5, -14,
20410, -0.206, 0.338, 0.942, -0.854, -0.244, 0.610, -6, 5, -14,
20414, -0.217, 0.333, 0.928, -0.793, -0.061, 0.244, -6, 5, -14,
20418, -0.207, 0.339, 0.927, -0.305, -0.244, 0.122, -6, 5, -14,
20423, -0.193, 0.322, 0.936, -0.488, 0.000, 0.244, -4, 6, -16,
20427, -0.193, 0.327, 0.932, -1.037, 0.488, 0.183, -4, 6, -16,
20432, -0.193, 0.327, 0.942, -0.671, 0.305, 0.183, -4, 6, -16,
20436, -0.201, 0.331, 0.914, -0.183, 0.000, 0.122, -4, 6, -16,
20441, -0.202, 0.333, 0.931, -0.427, -0.061, 0.000, -6, 5, -14,
20445, -0.197, 0.322, 0.925, -0.366, -0.183, 0.000, -6, 5, -14,
20449, -0.200, 0.319, 0.932, -0.854, 0.000, 0.122, -6, 5, -14,
20454, -0.205, 0.332, 0.931, -0.915, -0.122, -0.183, -6, 5, -14,
20458, -0.190, 0.331, 0.937, -0.244, 0.305, 0.000, -6, 4, -14,
20463, -0.190, 0.343, 0.927, -0.549, 0.183, 0.122, -6, 4, -14,
20467, -0.192, 0.332, 0.936, -0.915, 0.061, 0.000, -6, 4, -14,
20471, -0.191, 0.327, 0.934, -0.915, 0.000, 0.061, -6, 4, -14,
20476, -0.197, 0.325, 0.938, -0.854, 0.000, 0.244, -5, 4, -14,
20480, -0.205, 0.336, 0.939, -1.159, 0.549, -0.427, -5, 4, -14,
20485, -0.193, 0.330, 0.930, -1.159, 0.305, -0.244, -5, 4, -14,
20489, -0.193, 0.325, 0.929, -0.305, -0.183, -0.183, -5, 4, -14,
20493, -0.211, 0.345, 0.927, -1.707, 0.000, -0.061, -4, 5, -15,
20498, -0.198, 0.323, 0.942, -0.793, 0.244, -0.244, -4, 5, -15,
20502, -0.190, 0.308, 0.924, 0.000, -0.427, -0.793, -4, 5, -15,
20507, -0.201, 0.335, 0.927, -1.463, -0.183, 0.122, -4, 5, -15,
