-0.01074219, 0.01269531, 0.9980469, 0.8676227, 0.007238597, 0.002605008, 0.4971614, -0.004688547, -0.01280051, 0.9980924, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.02294922, 0.009277344, 0.9848633, 0.8687726, 0.007009913, 0.002773832, 0.4951517, -0.008093528, -0.02430825, 0.9848411, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
0.0004882813, 0.009277344, 1.013672, 0.8693324, 0.006913884, 0.002803177, 0.4941695, 0.004146208, -0.004212023, 1.013697, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01074219, 0.01123047, 0.9882813, 0.8703042, 0.006764688, 0.002815695, 0.492458, -0.003729644, -0.012322, 0.9883196, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01464844, 0.01757813, 0.9931641, 0.8708371, 0.006675236, 0.002826963, 0.4915164, -0.0112106, -0.01224391, 0.9932889, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.001464844, 0.00390625, 1.000488, 0.8720001, 0.006525161, 0.002828735, 0.4894522, 0.007229127, -0.007831149, 1.00044, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01025391, 0.00390625, 0.9916992, 0.8726348, 0.006503648, 0.002782976, 0.4883202, 0.002423243, -0.01525729, 0.9916396, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01220703, 0, 0.9897461, 0.8737587, 0.006299807, 0.00290201, 0.4863086, 0.004650786, -0.01847691, 0.989638, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.008789063, -0.0009765625, 0.9873047, 0.8747934, 0.006079283, 0.003012101, 0.4844471, 0.007182603, -0.01558773, 0.9871951, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01757813, 0.01220703, 0.9995117, 0.8751736, 0.005963952, 0.003045185, 0.4837611, -0.008591258, -0.01588129, 0.9995778, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.0078125, 0.01074219, 0.9902344, 0.8760495, 0.005835207, 0.003120698, 0.4821742, -0.002267856, -0.007997873, 0.9902886, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01220703, 0.01220703, 0.9912109, 0.8766546, 0.00582485, 0.0031398, 0.4810733, -0.005840669, -0.0108693, 0.9912845, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.001464844, 0.0078125, 0.9882813, 0.8775927, 0.005715941, 0.003173871, 0.4793609, 0.00355672, -0.003918723, 0.9882991, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.009277344, 0.002441406, 0.9902344, 0.8781195, 0.005658881, 0.003232357, 0.4783957, 0.003901044, -0.01325, 0.9901845, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.002441406, 0, 0.9868164, 0.8788863, 0.005491792, 0.00335207, 0.4769866, 0.009654018, -0.008417477, 0.9867363, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.006347656, -0.0009765625, 0.9946289, 0.8793295, 0.005461546, 0.003357507, 0.4761694, 0.008395046, -0.01222264, 0.9945391, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.005371094, 0.002929688, 0.9931641, 0.8800706, 0.005257475, 0.003470928, 0.4747998, 0.005628353, -0.008797459, 0.993128, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01464844, 0.002441406, 0.9975586, 0.8800706, 0.005257475, 0.003470928, 0.4747998, 0.000990939, -0.0168453, 0.9975264, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.00390625, -0.005371094, 0.9853516, 0.8813307, 0.005132225, 0.003529698, 0.4724578, 0.01321949, -0.01185363, 0.9852139, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.005371094, 0.01220703, 0.9907227, 0.8817693, 0.005028731, 0.003608677, 0.4716392, -0.002129741, -0.003105639, 0.9908053, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01367188, 0.005859375, 0.9785156, 0.8826219, 0.004946826, 0.003666954, 0.4700422, -0.001607208, -0.01324619, 0.9785377, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.004882813, 0.01513672, 0.9912109, 0.8826219, 0.004946826, 0.003666954, 0.4700422, -0.004258308, -0.000842919, 0.991329, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.001464844, 0.01171875, 0.9775391, 0.8834991, 0.004684783, 0.003834904, 0.4683927, 0.000393488, 0.0007835346, 0.97761, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.01171875, 0.01025391, 0.9819336, 0.8834991, 0.004684783, 0.003834904, 0.4683927, -0.004099485, -0.00854609, 0.9820113, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.009765625, 0.01025391, 0.9916992, 0.8843062, 0.00461144, 0.003948999, 0.4668669, -0.002778153, -0.006711851, 0.9917737, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
0.05957031, -0.08105469, 0.9882813, 0.8846337, 0.004292079, 0.003389826, 0.4662535, 0.1104133, -0.00104833, 0.9872316, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.04785156, -0.08203125, 0.7495117, 0.9220391, 0.00332271, 0.0004391186, 0.3870819, 0.02757723, -0.0959423, 0.74888, 0, 0, 0, 0.2898184, 0.5089542, -0.2105315
-0.2290039, 0.3266602, 0.8574219, 0.9410827, 0.002685905, 0.0006748252, 0.3381648, -0.3818936, 0.1022438, 0.8590841, -0.0936594, 0.02507528, -0.03455963, 0.2874769, 0.5080902, -0.2099047
